isbn,title,authors,publisher,publish_date
9780394743042,The Ravishing of Lol Stein,"Marguerite Duras,Richard Seever",Pantheon,1986-03-12
9781851681822,Love Letters,"Kahlil Gibran,Suheil Bushrui,Salma H. Al-Kuzbari",One World (UK),1999-07-01
9781566562492,Kahlil Gibran: His Life and World,"Jean Gibran,جبران خليل جبران,Kahlil Gibran",Interlink Publishing Group,1998-04-01
9780140195538,The Beloved: Reflections on the Path of the Heart,"Kahlil Gibran,John Walbridge,Robin Waterfield",Penguin Books,1998-01-01
9780394431246,Jesus the Son of Man,"Kahlil Gibran,جبران خليل جبران",Knopf,1995-02-21
9780806501901,The Broken Wings,"Kahlil Gibran,جبران خليل جبران,Anthony Rizcallah Ferris",Citadel,2003-03-03
9780679439202,Sand and Foam,"Kahlil Gibran,جبران خليل جبران",Knopf,2011-06-14
9780753453803,Treasure Island,Robert Louis Stevenson,Kingfisher,2001-09-15
9781402714573,Treasure Island,"Robert Louis Stevenson,Scott McKowen",Sterling Children's Books,2004-10-01
9781416500292,Treasure Island,Robert Louis Stevenson,Simon & Schuster,2005-06-01
9780689854682,Treasure Island,"Robert Louis Stevenson,N.C. Wyeth,Timothy Meis",Atheneum Books for Young Readers,2003-07-01
9780517221143,Treasure Island,"Robert Louis Stevenson,Milo Winter",Gramercy Books,2002-09-03
9781577658054,Treasure Island (Great Illustrated Classics),"Deidre S. Laiken,A.J. McAllister,Robert Louis Stevenson",Abdo Publishing Company,2006-01-31
9780933121188,100 Years of Lynchings,Ralph Ginzburg,Black Classic Press,1996-11-22
9780785950103,Cien años de soledad,Gabriel García Márquez,French & European,1990-01-01
9780394800844,On Beyond Zebra!,Dr. Seuss,Random House Books for Young Readers,1955-09-12
9780821778258,The Wedding Clause,Debbie Raleigh,Zebra,2005-06-07
9780060733032,The Zebra Wall,Kevin Henkes,Greenwillow Books,2005-02-15
9788432216060,El perfume: Historia de un asesino,Patrick Süskind,Booket,2002-06-01
9780345413994,The Door Into Summer,Robert A. Heinlein,Del Rey,1997-06-17
9780441788385,Stranger in a Strange Land,Robert A. Heinlein,Ace,1991-10-01
9780441748600,To Sail Beyond the Sunset,Robert A. Heinlein,Ace Books,1988-06-01
9780345316509,Job: A Comedy of Justice,Robert A. Heinlein,Del Rey,1985-10-12
9780765314932,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,Tor Books,2006-08-08
9780671742515,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,Pocket Books,1991-02-15
9780345455291,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,Del Rey,2005-04-26
9780345476517,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,Del Rey,2005-12-27
9780345368430,Douglas Adams's Starship Titanic,Terry Jones,Ballantine Books,1998-10-27
9781417622856,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,"Douglas Adams,Christopher Cerf",Turtleback Books,2003-07-01
9780573650963,The Phantom Tollbooth: A Children's Play in Two Acts,"Susan Nanus,Norton Juster",Samuel French  Inc.,2011-01-12
9780691122946,On Bullshit,Harry G. Frankfurt,Princeton University Press,2005-01-30
9780393329407,Another Bullshit Night in Suck City,Nick Flynn,W. W. Norton & Company,2005-09-12
9780671867423,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,Simon & Schuster,1993-06-12
